Name,Latitude,Longitude,Description
Madara Island,33.5809925,129.7439687,"Punto zero - emersione mar 11/11 ore 06:05, un'ora di preavviso (CSV marcatori)"
Genkai,33.51555,129.83748,"Tappa 1 - DISTRUTTA 1d 07:00 (la V di Genkai)"
Shimane,35.53823,133.00145,"Tappa 2 - colpita 2d 13:37 (tutte e 8 cadono se non fermata)"
Takahama,35.52150,135.50673,"Tappa 3 - 3d 08:49 - il giorno nero"
Ohi,35.53851,135.65340,"Tappa 4 - 3d 09:56 - il giorno nero"
Mihama,35.70222,135.96390,"Tappa 5 - 3d 12:43 - il giorno nero"
Fugen,35.75476,136.01654,"Tappa 6 - 3d 13:20 - adiacente a Tsuruga"
Tsuruga,35.75024,136.02107,"Tappa 7 - 3d 13:20 - ultima del giorno nero"
Kashiwazaki-Kariwa,37.42833,138.60167,"META FINALE - 4d 14:03 la attraversa senza rallentare: distrutta 14:20, in mare 14:30, sparita 15:45 (bollettini)"
Monte Mihara (Izu Oshima),34.7244,139.3944,"Il vulcano - fumarole dal 12 nov, ERUZIONE VERA il 15 nov 1986 ore 17:25; gancio proposto del secondo dormiente"
Sala 1 - Karatsu,33.450,129.970,"Comando avanzato dal g.1 (09-11): municipio/palestra lato est, fuori dai quartieri evacuati; poi retrovia"
Sala 2 - Maizuru (JMSDF),35.475,135.386,"Comando distretto navale, porto est/Kitasui - operativa mattina g.2; INAGIBILE 3d 07:48 (passaggio a ~1,4 km)"
Capannone Ryugu-kai (SOLO GM),35.4526,135.31553,"Covo: ex cantiere demolizioni, sponda ovest baia di Maizuru - dispositivo+archivio+oro; passaggio del mostro 3d mattina a ~2 km (COORDINATE UTENTE definitive)"
Scambio oro - ponticello di Habara,35.69450,136.11944,"Raduno consegna (mattina G2): il gemello aspetta sotto il ponticello della Hokuriku (coordinate utente)"
Scambio oro - traforo di Tsuruga,35.71,136.12,"Il cambio dei teloni nel fumo, dentro il tunnel (portale: da fissare su carta)"
