WKT,Name,Latitude,Longitude,Description,Km
"POINT (129.743969 33.580993)",1d 06,33.580993,129.743969,1d 06 - partenza Madara Island, ore 06:05,0.0
"POINT (129.834304 33.51741)",1d 07,33.517410,129.834304,1d 07 - uscita dal mare a Genkai,110.0
"POINT (130.031726 33.651315)",1d 09,33.651315,130.031726,1d 09,350.0
"POINT (130.2396462 33.7850004)",1d 11,33.7850004,130.2396462,1d 11,590.0
"POINT (130.4516861 33.9163861)",1d 13,33.9163861,130.4516861,1d 13,830.0
"POINT (130.6554871 34.0397921)",1d 15,34.0397921,130.6554871,1d 15,1070.0
"POINT (130.8716472 34.1722969)",1d 17,34.1722969,130.8716472,1d 17,1310.0
"POINT (131.0768208 34.2979791)",1d 19,34.2979791,131.0768208,1d 19,1550.0
"POINT (131.2929803 34.4270631)",1d 21,34.4270631,131.2929803,1d 21,1790.0
"POINT (131.5036481 34.5538775)",1d 23,34.5538775,131.5036481,1d 23,2030.0
"POINT (131.7170612 34.6818214)",2d 01,34.6818214,131.7170612,2d 01,2270.0
"POINT (131.9249817 34.8063781)",2d 03,34.8063781,131.9249817,2d 03,2510.0
"POINT (132.1452624 34.935446)",2d 05,34.935446,132.1452624,2d 05,2750.0
"POINT (132.3531821 35.0566376)",2d 07,35.0566376,132.3531821,2d 07,2990.0
"POINT (132.5707157 35.1812143)",2d 09,35.1812143,132.5707157,2d 09,3230.0
"POINT (132.7827568 35.3035562)",2d 11,35.3035562,132.7827568,2d 11,3470.0
"POINT (132.9975432 35.4303871)",2d 13,35.4303871,132.9975432,2d 13,3710.0
"POINT (133.237597 35.495245)",2d 15,35.495245,133.237597,2d 15,3950.0
"POINT (133.502705 35.498958)",2d 17,35.498958,133.502705,2d 17,4190.0
"POINT (133.767812 35.502671)",2d 19,35.502671,133.767812,2d 19,4430.0
"POINT (134.03292 35.506384)",2d 21,35.506384,134.032920,2d 21,4670.0
"POINT (134.298028 35.510098)",2d 23,35.510098,134.298028,2d 23,4910.0
"POINT (134.563136 35.513811)",3d 01,35.513811,134.563136,3d 01,5150.0
"POINT (134.828243 35.517524)",3d 03,35.517524,134.828243,3d 03,5390.0
"POINT (135.093173 35.520979)",3d 05,35.520979,135.093173,3d 05,5630.0
"POINT (135.301436 35.426382)",3d 07,35.426382,135.301436,3d 07,5870.0
"POINT (135.531007 35.527051)",3d 09,35.527051,135.531007,3d 09,6110.0
"POINT (135.772686 35.601403)",3d 11,35.601403,135.772686,3d 11,6350.0
"POINT (135.9889 35.725078)",3d 13,35.725078,135.988900,3d 13,6590.0
"POINT (136.192482 35.865105)",3d 15,35.865105,136.192482,3d 15,6830.0
"POINT (136.3953962 36.0052218)",3d 17,36.0052218,136.3953962,3d 17,7070.0
"POINT (136.6024303 36.1431042)",3d 19,36.1431042,136.6024303,3d 19,7310.0
"POINT (136.810151 36.2798728)",3d 21,36.2798728,136.810151,3d 21,7550.0
"POINT (137.0178717 36.4155322)",3d 23,36.4155322,137.0178717,3d 23,7790.0
"POINT (137.2290255 36.5522949)",4d 01,36.5522949,137.2290255,4d 01,8030.0
"POINT (137.4360597 36.6879514)",4d 03,36.6879514,137.4360597,4d 03,8270.0
"POINT (137.6451534 36.8230591)",4d 05,36.8230591,137.6451534,4d 05,8510.0
"POINT (137.8569953 36.9581689)",4d 07,36.9581689,137.8569953,4d 07,8750.0
"POINT (138.0674626 37.0921851)",4d 09,37.0921851,138.0674626,4d 09,8990.0
"POINT (138.2758699 37.2256593)",4d 11,37.2256593,138.2758699,4d 11,9230.0
"POINT (138.490457 37.3585966)",4d 13,37.3585966,138.490457,4d 13,9470.0
"POINT (138.60167 37.42833)",4d 14,37.428330,138.601670,4d 14 - arrivo Kashiwazaki-Kariwa, ore 14:03,9595.0
